titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0004518	6	Charlot Diverte-se	PT	\N	imdbDisplay	\N	0
tt0004546	5	Que Noite!	PT	\N	imdbDisplay	\N	0
tt0004635	5	O Exilado	PT	\N	\N	\N	0
tt0004656	3	O Clube dos Suicidas	PT	\N	imdbDisplay	\N	0
tt0004707	6	As Bodas de Charlot	PT	\N	imdbDisplay	\N	0
tt0004936	3	Charlot no Banco	PT	\N	imdbDisplay	\N	0
tt0004972	2	O Nascimento de Uma Nação	PT	\N	\N	\N	0
tt0005041	5	Brincar com o Fogo	PT	\N	\N	\N	0
tt0005044	11	Charlot Banhista	PT	\N	imdbDisplay	\N	0
tt0005074	2	O Campeão	PT	\N	imdbDisplay	\N	0
tt0005076	3	A Madrinha de Charley	PT	\N	imdbDisplay	\N	0
tt0005077	10	Carmen Ou a Paródia de Charlot	PT	\N	\N	\N	0
tt0005078	12	A Marca de Fogo	PT	\N	\N	\N	0
tt0005137	1	Corrida de Touros no Campo Pequeno com Três Colhidas	PT	\N	\N	\N	0
tt0005195	4	O Outro Diamante	PT	\N	imdbDisplay	\N	0
tt0005250	3	Cidade Eterna	PT	\N	\N	\N	0
tt0005295	1	Um Drama Sob o Império	PT	\N	imdbDisplay	\N	0
tt0005393	4	Sonhos de Moça	BR	pt	\N	\N	0
tt0005414	5	Sonho	PT	\N	imdbDisplay	\N	0
tt0005489	3	A Estreia de Charlot	PT	\N	imdbDisplay	\N	0
tt0005529	9	Noite de vingança	PT	\N	imdbDisplay	\N	0
tt0005542	22	Charlot no Parque	PT	\N	imdbDisplay	\N	0
tt0005558	1	Tabaqueira de Marfim	PT	\N	imdbDisplay	\N	0
tt0005571	10	Charlot Quer Casar	PT	\N	imdbDisplay	\N	0
tt0005600	8	O Tímido	PT	\N	imdbDisplay	\N	0
tt0005810	28	Charlot Zaragateiro	PT	\N	imdbDisplay	\N	0
tt0005812	17	Uma Noite no Music-Hall	PT	\N	imdbDisplay	\N	0
tt0005951	4	Rapsódia Satânica	PT	\N	imdbDisplay	\N	0
tt0005958	3	Maria Madalena	PT	\N	\N	\N	0
tt0005960	10	Regeneração	PT	\N	imdbDisplay	\N	0
tt0005977	1	A Romaria da Senhora do Pilar	PT	\N	\N	\N	0
tt0006032	23	Charlot em Xangai	PT	\N	imdbDisplay	\N	0
tt0006088	1	O Cocheiro e a Viajante	PT	\N	\N	literal title	0
tt0006115	1	Submarino Pirata	PT	\N	\N	\N	0
tt0006177	14	O Vagabundo	PT	\N	imdbDisplay	\N	0
tt0006182	5	Trilby	PT	\N	imdbDisplay	\N	0
tt0006206	2	Os Vampiros	PT	\N	imdbDisplay	\N	0
tt0006234	2	Escada de cerimónia, escada de serviço	PT	\N	imdbDisplay	\N	0
tt0006279	2	Pérola Branca	PT	\N	\N	\N	0
tt0006309	19	Charlot Perfeita Dama	PT	\N	imdbDisplay	\N	0
tt0006313	4	Charlot Aprendiz	PT	\N	imdbDisplay	\N	0
tt0006339	7	A Filha do Circo	PT	\N	imdbDisplay	\N	0
tt0006378	3	Fogo de Cinzas	PT	\N	imdbDisplay	\N	0
tt0006414	11	Charlot Maquinista	PT	\N	imdbDisplay	\N	0
tt0006489	2	O Deus Cativo	PT	\N	imdbDisplay	\N	0
tt0006494	6	Cinzas	PT	\N	\N	\N	0
tt0006517	10	Civilização	PT	\N	imdbDisplay	\N	0
tt0006542	3	Como Aquele Dia...	PT	\N	\N	\N	0
tt0006548	13	Charlot Aldrabão	PT	\N	imdbDisplay	\N	0
tt0006554	2	Mancha de Sangue	PT	\N	imdbDisplay	\N	0
tt0006611	2	Direito à Vida	PT	\N	imdbDisplay	\N	0
tt0006614	7	A Muda de Portici	PT	\N	imdbDisplay	\N	0
tt0006684	16	Charlot Bombeiro	PT	\N	imdbDisplay	\N	0
tt0006689	36	Charlot Caixeiro	PT	\N	imdbDisplay	\N	0
tt0006716	2	Jaula Dourada	PT	\N	imdbDisplay	\N	0
tt0006726	2	O Romance de Glória	PT	\N	imdbDisplay	\N	0
tt0006736	2	O Bom Vilão	PT	\N	imdbDisplay	\N	0
tt0006746	3	A Sina de uma Mulher	PT	\N	imdbDisplay	\N	0
tt0006780	2	As Portas do Inferno	PT	\N	\N	\N	0
tt0006788	4	Com Nome Suposto	PT	\N	imdbDisplay	\N	0
tt0006831	5	Flor da Holanda	PT	\N	imdbDisplay	\N	0
tt0006864	17	Intolerância	PT	\N	\N	\N	0
tt0006867	3	A Máscara dos Dentes Brancos	PT	\N	imdbDisplay	\N	0
tt0006884	1	A Lenda do Dragão	PT	\N	imdbDisplay	\N	0
tt0006886	6	Judex	PT	\N	imdbDisplay	\N	0
tt0006910	1	O Último Homem	PT	\N	imdbDisplay	\N	0
tt0006997	6	Maciste Soldado Alpino	PT	\N	\N	\N	0
tt0007031	3	Loucuras de Nova Iorque	PT	\N	imdbDisplay	\N	0
tt0007033	1	Manobras Navais Portuguesas	PT	\N	\N	\N	0
tt0007038	1	Maria Rosa	PT	\N	imdbDisplay	\N	0
tt0007074	2	Miss Washington	PT	\N	\N	\N	0
tt0007079	1	Frou-Frou	PT	\N	imdbDisplay	\N	0
tt0007107	3	A Seita Tenebrosa	PT	\N	imdbDisplay	\N	0
tt0007145	20	Charlot Boémio	PT	\N	imdbDisplay	\N	0
tt0007162	28	Charlot Prestamista	PT	\N	imdbDisplay	\N	0
tt0007183	4	A Dama de Espadas	PT	\N	imdbDisplay	\N	0
tt0007192	2	A Aventureira	PT	\N	imdbDisplay	\N	0
tt0007194	18	Charlot Ladrão	PT	\N	imdbDisplay	\N	0
tt0007235	1	O Quim e o Manecas	PT	\N	\N	\N	0
tt0007264	3	Charlot Patinador	PT	\N	imdbDisplay	\N	0
tt0007274	7	A Rosa do Sul	PT	\N	imdbDisplay	\N	0
tt0007316	1	O Segredo da Esfinge	PT	\N	imdbDisplay	\N	0
